timestamp,left_eye_openness,right_eye_openness,blink_detected,blink_rate,quality_score,baseline_openness,confidence,blink_duration,saccade_detected,saccade_rate,saccade_amplitude,saccade_velocity,microsaccade_detected,microsaccade_rate,fatigue_blink_rate_score,fatigue_blink_duration_score,fatigue_eye_openness_score,fatigue_yawn_score,fatigue_gaze_drift_score,fatigue_head_slouch_score,overall_fatigue_score,fatigue_level,yawn_detected
2025-08-06T14:27:27.282824,0.12115063844620669,0.1422152623703673,False,0,1.0,0.0,0.9,0.0,False,0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:27.304533,0.12115063844620669,0.1422152623703673,False,0,1.0,0.0,0.9,0.0,False,0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:27.415295,0.12044080695390402,0.14413150385063778,False,0,1.0,0.0,0.9,0.0,False,0,0.0004129094323869955,0.0037232936120825053,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:27.502853,0.11979342230651814,0.14590794319013797,False,0,1.0,0.0,0.9,0.0,False,0,0.0001975835794639313,0.0022515801536686143,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:27.635695,0.1196176242386055,0.1472132530828122,False,0,1.0,0.0,0.9,0.0,False,0,7.751369945439606e-05,0.0005829941572130472,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:27.718851,0.11918541455286692,0.14943702338143947,False,0,1.0,0.0,0.9,0.0,False,0,0.00024383702780016904,0.00295380840183214,True,395.6517309687765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:28.031351,0.11900610757963256,0.15007068139069835,False,0,1.0,0.0,0.9,0.0,False,0,0.00037960622318739337,0.002921760010899873,False,276.97698299231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:28.073179,0.11251833062883429,0.1407284464996008,False,0,1.0,0.0,0.9,0.0,True,0,0.005688307613585572,0.025774044109126835,False,183.50475682131895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:28.155796,0.11117838116414581,0.14315288013600852,False,0,1.0,0.0,0.9,0.0,False,0,0.004372279941910043,0.050953774991033984,False,162.21980853983746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:28.286369,0.10993963960957266,0.1411055145361141,False,0,1.0,0.0,0.9,0.0,False,0,0.0001558892899185734,0.0011901371567319128,False,137.8193708052106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal,False
2025-08-06T14:27:28.373758,0.10845927846347977,0.1382697593729135,False,0,1.0,0.0,0.9,0.0,False,0,0.0004487920161371239,0.0051834507736527695,True,188.0258911604948,0.0,0.0,0.0,0.0,0.027049714993216397,0.004419770977883293,0.003146948597109969,Normal,False
